City Code Descriptio,Special Process Indi,BIDING AMMOUNT
ADINA,1164,683
ARAIDANGA,1166,600
ARAIDANGA,1164,607
ARAIDANGA,1167,605
ASHOKGRAM,1164,764
ASHOKGRAM,1167,759
ASHOKGRAM,1166,754
AMDOB,1164,808
AMDOB,1167,806
AMDOB,1166,801
ARBETAI,1166,627
ARBETAI,1164,636
ARBETAI,1167,632
ANANTAPUR (MSD),1166,350
ANANTAPUR (MSD),1167,355
ANANTAPUR (MSD),1164,359
ALINAGAR,1167,615
ALINAGAR,1164,618
ALINAGAR,1166,611
ASHAPUR,1164,761
ASHAPUR,1167,749
ASHAPUR,1166,732
AGRA HARISCHANDRAPUR,1164,597.92
AGRA HARISCHANDRAPUR,1167,593.11
AGRA HARISCHANDRAPUR,1166,588.3
AMTOLI,1164,698
AMTOLI,1167,695
AMTOLI,1166,692
BABLARI,1167,672
BABLARI,1166,667
BABLARI,1164,674
BABUIJORE,1164,647
BABUIJORE,1167,644
BABUIJORE,1166,639
BACHHRA,1164,505
BACHHRA,1166,497
BACHHRA,1167,502
BADAM TALA,1164,659
BADANGUNJ,1164,769
BADKULLA,1167,707
BADKULLA,1166,702
BADKULLA,1164,709
BADURIA,1164,856
BAGACHARA,1167,615
BAGACHARA,1166,611
BAGACHARA,1164,618
BAGDAH,1167,806
BAGDAH,1166,801
BAGDAH,1164,808
BAGDOLA,1166,688
BAGDOLA,1164,695
BAGDOLA,1167,693
BAGHAJATIN,1164,885
BAGHMUNDI,1164,981
BAGHON,1164,764
BAGHON,1167,760
BAGHON,1166,755
BAGJOLA,1164,819
BAGULA,1166,724
BAGULA,1167,729
BAGULA,1164,731
BAHADURPUR,1166,369
BAHADURPUR,1164,377
BAHADURPUR,1167,374
BAHARA,1164,545
BAHARA,1167,542
BAHARA,1166,537
BAHIRI,1166,588
BAHIRI,1167,593
BAHIRI,1164,595
BAIDHARA,1167,317
BAIDHARA,1166,312
BAIDHARA,1164,321
BAIDYAPUR,1164,807
BAIDYAPUR,1167,805
BAIDYAPUR,1166,800
BAKALSA,1167,473
BAKALSA,1166,468
BAKALSA,1164,476
BAKRESWAR,1164,594
BAKRESWAR,1167,592
BAKRESWAR,1166,587
BAKTORE,1164,647
BAKTORE,1166,639
BAKTORE,1167,644
BAKUL,1164,528
BAKUL,1166,520
BAKUL,1167,525
BALARAMPUR,1164,951
BALI / TUNGI,1164,192
BALI / TUNGI,1167,190
BALI / TUNGI,1166,188
BALIA (BELE),1167,806
BALIA (BELE),1164,808
BALIA (BELE),1166,801
BALIAGHAT (APER),1164,452
BALIAGHAT (APER),1166,444
BALIAGHAT (APER),1167,449
BALIGHAI,1164,994
BALIGUNI,1164,647
BALIGUNI,1166,639
BALIGUNI,1167,644
BALIHARPUR,1164,579
BALIHARPUR,1167,577
BALIHARPUR,1166,572
BALINDI,1164,850
BALINDI,1166,844
BALINDI,1167,849
BALIPUR,1164,848
BALLAVPARA,1167,669
BALLAVPARA,1164,671
BALLAVPARA,1166,664
BALURGHAT,1167,836
BALURGHAT,1164,840
BALURGHAT,1166,831
BAMANPUKUR(KNJ),1167,701
BAMANPUKUR(KNJ),1164,703
BAMANPUKUR(KNJ),1166,696
BAMONGOLA,1164,690
BAMONGOLA,1167,685
BAMONGOLA,1166,681
BAMONGRAM,1166,520
BAMONGRAM,1164,528
BAMONGRAM,1167,525
BANDAR,1167,644
BANDAR,1164,647
BANDAR,1166,639
BANDWAN,1164,951
BANESHWARPUR,1166,844
BANESHWARPUR,1164,850
BANESHWARPUR,1167,849
BANGACHATRA,1167,593
BANGACHATRA,1166,588
BANGACHATRA,1164,595
BANHA,1164,377
BANHA,1167,374
BANHA,1166,369
BANIOR,1164,456
BANIOR,1167,453
BANIOR,1166,448
BANKURA MORE,1164,848
BANONABAGRAM,1164,463
BANONABAGRAM,1167,459
BANONABAGRAM,1166,455
BANPUR,1166,780
BANPUR,1167,785
BANPUR,1164,787
BANPUR (MATIARY),1164,709
BANPUR (MATIARY),1167,707
BANPUR (MATIARY),1166,702
BIPRIT,1164,865
BIPRIT,1166,858
BIPRIT,1167,863
BAISHNABNAGAR,1164,502
BAISHNABNAGAR,1167,497
BAISHNABNAGAR,1166,492
BALAGARH,1164,732
BARABANI,1164,808
BHASTARA,1164,779
BOINCHI,1164,807
BAGHNAPARA,1164,723
BALAGARH V HABIB PUR,1167,849
BALAGARH V HABIB PUR,1164,850
BALAGARH V HABIB PUR,1166,844
BALGONA,1164,605
